Wiek;Ogółem;Wyższe;Policealne;Średnie;Zasadnicze zawodowe;Gimnazjalne;Podstawowe
74;95864;2908;531;9649;11319;218;69489
75;93312;2809;462;9133;10220;221;68963
76;88750;2240;383;8343;8470;233;67560
77;85634;1952;341;7048;7686;244;67015
78;83356;1718;263;6439;6115;283;67110
79;82989;1289;219;5222;5606;356;69027
80;80997;1301;127;4243;4698;306;68888
81;72339;970;144;3417;3680;314;62532
82;65938;786;95;2737;3235;284;57686
83;57884;531;71;2114;2614;207;51285
84;50271;445;82;1765;1765;170;45145
85 lat i więcej;216479;1542;214;6104;6209;1008;196120
Mężczyźni;6201105;492475;53676;1420831;2147810;414819;1408075
15 lat;103768;0;0;0;0;3581;97606
16;107726;0;0;0;0;69153;35724
17;112987;0;0;0;803;99847;9423
18;117478;0;0;4587;4526;99989;5851
19;120422;0;155;26020;21245;65095;5243
20;122100;127;399;59631;28060;25653;4890
21;119197;529;1037;69767;26370;12567;5065
22;118969;6668;1959;64851;25281;10305;5096
23;122148;12686;2587;61488;25452;8659;5385
24;122416;18669;3092;55533;25856;7424;5121
25;127278;22452;2953;51981;29643;3779;8033
26;129054;24154;2724;48284;32365;1456;10645
27;131175;24656;2588;46007;35312;758;11543
28;129067;24278;2498;42264;37283;409;11874
29;122205;22423;1766;37955;37377;318;12131
30;121061;20858;1529;35635;39724;318;12810
31;120632;19870;1637;34583;41696;180;13450
32;118639;17769;1294;32614;43316;215;14271
33;116924;17208;1230;30759;45321;207;13832
34;118763;16022;1220;30302;48052;122;15090
35;117389;14000;1102;29182;50209;179;15371
36;115508;13281;959;27754;51164;118;15322
37;112874;12520;809;25791;52412;97;14839
38;109394;11294;912;24764;52257;93;14510
39;107571;10020;841;23889;53211;128;14206
40;104249;8978;691;23294;51728;102;14408
41;101811;7832;768;21856;51744;149;14557
42;101145;7562;632;21655;51712;85;15019
43;100785;7170;663;21148;51619;70;15759
44;101438;7285;676;20734;52427;69;16068
45;102586;6612;700;21003;54019;114;15651
46;102754;6913;623;21337;54491;100;14862
47;104587;6537;733;21382;55968;99;15336
48;106176;6250;812;22987;56159;127;15643
49;107715;6163;876;23377;56920;49;15988
50;110312;6300;1024;22678;58631;91;17446
51;115517;6406;1130;23080;60819;89;19849
52;116532;6626;1128;23471;59827;53;21636
53;116859;6401;1094;22574;59111;114;23530
54;111756;6056;815;21775;54316;122;25238
55;110709;6231;824;20248;52141;85;27903
56;104513;5594;610;19049;47253;134;28710
57;100588;5494;674;17624;43754;104;30191
58;97277;5254;545;17476;41732;78;29806
59;94709;5120;520;16173;39897;111;30361
60;88230;5202;578;14872;35944;89;29469
61;82227;4986;441;13379;32661;69;28719
62;77614;4669;477;12521;29519;76;28505
63;72350;4260;497;11351;26486;65;28199
64;63915;4132;363;9840;21544;76;26765
65;48597;2733;313;7127;15123;62;22370
66;42275;2326;257;5704;12378;77;20618
67;42420;2393;198;5283;11300;46;22387
68;38598;2161;148;4567;9354;54;21607
69;40675;2098;158;4135;9629;64;23841
70;41517;1917;206;4364;9409;85;24693
71;42862;1804;169;4339;9485;52;26303
72;41445;1612;120;4011;9324;58;25650
73;39191;1448;104;4105;8149;93;24610
74;38412;1332;120;3835;7597;56;24723
75;36591;1433;106;3660;6815;97;23870
76;33954;1180;77;3330;5467;97;23204
77;32014;1146;98;3038;4963;86;22150
78;29957;961;108;2812;3958;89;21529
79;28977;810;46;2418;3611;115;21565
80;27496;836;38;1985;3059;123;21062
81;24100;668;46;1703;2468;123;18708
82;21253;528;33;1342;2074;88;16899
83;17723;321;20;1013;1639;59;14432
84;14651;265;31;789;1137;59;12178
85 lat i więcej;57298;990;91;2747;3516;266;48726
Kobiety;6311640;785403;139316;1666813;1271666;358559;1796987
15 lat;98776;0;0;0;0;3496;93105
16;102512;0;0;0;0;71623;28525
17;107458;0;0;0;493;100118;4248
18;111339;0;0;8008;4835;93056;2986
19;112611;0;346;46586;10926;49131;2467
20;112929;243;724;79729;11912;14449;2222
21;111413;1176;2282;84908;10490;5493;2193
22;111887;19496;3023;66261;10255;4343;2288
23;114144;29309;3930;56492;10311;3803;2534
24;115438;38301;4375;46820;10803;3234;2764
25;119175;42106;3715;42899;14025;1608;4134
26;121436;43542;3843;39658;16342;692;5356
27;123692;43148;3815;39584;18279;288;5808
28;120628;40250;3596;38237;19652;260;5990
29;114073;36905;3267;34844;20583;156;6359
30;112834;34030;3432;34976;22249;149;6855
31;112943;32356;3377;34074;24886;135;7335
32;110794;30098;3765;34009;25630;116;7252
33;109197;26596;3612;33666;28210;99;8077
34;110374;25426;3758;33711;30160;89;9029
35;110021;23014;3724;34119;31654;102;9836
36;108195;20929;3118;32542;34060;121;9995
37;105479;18580;2989;31281;35603;76;10120
38;103243;17359;2688;31343;35478;63;9996
39;101023;16632;2762;30030;36054;46;9759
40;96655;14956;2595;28380;34589;94;10497
41;95044;14289;2423;28072;34042;64;11036
42;93499;13341;2377;27170;34178;85;11518
43;92434;12289;2292;27071;33871;100;11942
44;92771;12254;2197;27447;33806;44;12441
45;92503;11775;2117;28175;34386;31;11925
46;92474;11304;2289;28964;33698;77;11760
47;94809;11682;2173;30504;34041;75;12132
48;95241;11218;2437;30837;33872;75;12972
49;96389;10553;3074;31451;33765;83;13882
50;98892;9592;3407;32130;34327;96;15706
51;103384;9504;3796;33322;35427;50;17725
52;104777;9295;4150;33231;34314;70;20192
53;104918;8511;4057;31896;33357;50;23819
54;100774;8117;3417;29284;31367;74;25593
